Step|length,BatchTime,BatchAvgTime,Loss,AvgLoss,Accuracy,AverageAccuracy
[8/15],7.618,7.292,0.7657,1.0661,0.55,0.517
[9/15],7.714,7.334,0.8448,1.044,0.65,0.53
[10/15],7.221,7.324,1.2849,1.0659,0.35,0.514
[11/15],7.734,7.358,1.1313,1.0713,0.5,0.512
[12/15],6.735,7.31,1.0075,1.0664,0.7,0.527
[13/15],7.288,7.309,1.329,1.0852,0.45,0.521
[14/15],2.138,6.964,1.2468,1.0891,0.571,0.523
[0/15],7.848,7.848,1.0038,1.0038,0.4,0.4
[1/15],6.734,7.291,1.3903,1.1971,0.4,0.4
[2/15],7.646,7.409,1.3243,1.2395,0.5,0.433
[3/15],7.353,7.395,0.9569,1.1688,0.45,0.438
[4/15],7.474,7.411,1.69,1.2731,0.3,0.41
[5/15],6.04,7.183,0.9368,1.217,0.65,0.45
[6/15],7.218,7.188,1.0891,1.1987,0.55,0.464
[7/15],7.072,7.173,1.2564,1.206,0.5,0.469
[8/15],7.438,7.203,0.9844,1.1813,0.7,0.494
[9/15],7.396,7.222,0.9117,1.1544,0.7,0.515
[10/15],7.801,7.275,1.1197,1.1512,0.55,0.518
[11/15],7.18,7.267,1.2143,1.1565,0.55,0.521
[12/15],8.271,7.344,0.9541,1.1409,0.75,0.538
[13/15],7.659,7.366,1.3241,1.154,0.4,0.529
[14/15],2.267,7.027,1.4225,1.1606,0.714,0.533
[0/15],6.721,6.721,1.4698,1.4698,0.5,0.5
[1/15],6.8,6.761,1.2327,1.3513,0.55,0.525
[2/15],7.639,7.053,0.9828,1.2284,0.7,0.583
[3/15],8.706,7.466,1.0235,1.1772,0.4,0.537
[4/15],8.371,7.647,1.1089,1.1635,0.55,0.54
[5/15],7.05,7.548,1.3675,1.1975,0.45,0.525
[6/15],7.098,7.484,0.7391,1.1321,0.7,0.55
[7/15],8.459,7.605,1.1601,1.1356,0.5,0.544
[8/15],7.205,7.561,1.1912,1.1417,0.5,0.539
[9/15],7.035,7.508,1.5764,1.1852,0.4,0.525
[10/15],7.996,7.553,1.0774,1.1754,0.45,0.518
[11/15],6.787,7.489,0.7905,1.1433,0.55,0.521
[12/15],6.922,7.445,0.7193,1.1107,0.7,0.535
[13/15],8.948,7.553,0.8032,1.0887,0.7,0.546
[14/15],3.133,7.258,1.9687,1.1102,0.143,0.537
[0/15],7.406,7.406,0.8933,0.8933,0.7,0.7
[1/15],7.017,7.211,1.247,1.0702,0.55,0.625
[2/15],7.266,7.229,1.5943,1.2449,0.35,0.533
[3/15],8.167,7.464,1.1371,1.2179,0.55,0.537
[4/15],9.671,7.905,1.5064,1.2756,0.25,0.48
[5/15],7.595,7.854,1.2468,1.2708,0.5,0.483
[6/15],7.23,7.764,1.0804,1.2436,0.5,0.486
[7/15],7.99,7.793,1.1714,1.2346,0.65,0.506
[8/15],8.177,7.835,1.21,1.2319,0.45,0.5
[9/15],6.826,7.734,0.8353,1.1922,0.7,0.52
[10/15],8.088,7.766,1.1672,1.1899,0.6,0.527
[11/15],6.629,7.672,0.9561,1.1704,0.6,0.533
[12/15],7.292,7.642,1.1749,1.1708,0.55,0.535
[13/15],8.036,7.671,0.9963,1.1583,0.55,0.536
[14/15],2.274,7.311,1.4892,1.1664,0.429,0.533
[0/15],7.183,7.183,1.3393,1.3393,0.55,0.55
[1/15],7.659,7.421,1.1902,1.2647,0.6,0.575
[2/15],8.139,7.66,0.8406,1.1234,0.7,0.617
[3/15],7.636,7.654,0.8539,1.056,0.8,0.662
[4/15],7.833,7.69,1.219,1.0886,0.65,0.66
[5/15],8.223,7.779,1.1239,1.0945,0.45,0.625
[6/15],7.328,7.714,1.4175,1.1406,0.45,0.6
[7/15],6.862,7.608,1.3741,1.1698,0.35,0.569
[8/15],7.416,7.586,0.9235,1.1424,0.65,0.578
[9/15],7.3,7.558,0.9814,1.1263,0.5,0.57
[10/15],7.852,7.585,1.2784,1.1402,0.55,0.568
[11/15],7.169,7.55,1.3435,1.1571,0.4,0.554
[12/15],7.722,7.563,1.2102,1.1612,0.6,0.558
[13/15],7.423,7.553,0.9663,1.1473,0.5,0.554
[14/15],2.417,7.211,0.6377,1.1348,0.571,0.554
[0/15],7.945,7.945,0.96,0.96,0.4,0.4
[1/15],7.439,7.692,1.0374,0.9987,0.6,0.5
[2/15],7.564,7.65,1.4521,1.1498,0.5,0.5
[3/15],7.081,7.507,1.363,1.2031,0.45,0.487
[4/15],8.598,7.726,1.257,1.2139,0.4,0.47
[5/15],7.195,7.637,1.3205,1.2317,0.5,0.475
[6/15],8.986,7.83,1.1422,1.2189,0.4,0.464
[7/15],7.266,7.759,1.658,1.2738,0.4,0.456
[8/15],7.872,7.772,0.732,1.2136,0.7,0.483
[9/15],8.142,7.809,1.405,1.2327,0.45,0.48
[10/15],7.659,7.795,1.205,1.2302,0.5,0.482
[11/15],6.223,7.664,0.9146,1.2039,0.55,0.487
[12/15],6.673,7.588,1.2612,1.2083,0.5,0.488
[13/15],7.431,7.577,1.1355,1.2031,0.65,0.5
[14/15],2.709,7.252,1.0181,1.1986,0.571,0.502
[0/15],16.343,16.343,1.4518,1.4518,0.5,0.5
[1/15],14.71,15.527,1.207,1.3294,0.5,0.5
[2/15],7.507,12.854,0.9255,1.1948,0.65,0.55
[3/15],7.696,11.564,1.2819,1.2165,0.55,0.55
[4/15],8.033,10.858,1.3587,1.245,0.4,0.52
[5/15],8.518,10.468,1.3851,1.2683,0.35,0.492
[6/15],7.044,9.979,1.2215,1.2616,0.4,0.479
[7/15],7.641,9.687,1.0881,1.2399,0.5,0.481
[8/15],8.012,9.501,0.9545,1.2082,0.6,0.494
[9/15],7.397,9.29,1.423,1.2297,0.35,0.48
[10/15],7.503,9.128,1.2392,1.2306,0.5,0.482
[11/15],8.07,9.04,0.9146,1.2042,0.65,0.496
[12/15],7.735,8.939,1.1598,1.2008,0.5,0.496
[13/15],8.187,8.885,1.1489,1.1971,0.65,0.507
[14/15],2.615,8.467,0.9747,1.1917,0.429,0.505
[0/15],8.39,8.39,1.0295,1.0295,0.55,0.55
[1/15],9.236,8.813,1.0031,1.0163,0.5,0.525
[2/15],9.505,9.044,1.1262,1.0529,0.3,0.45
[3/15],8.45,8.895,1.3706,1.1323,0.4,0.438
[4/15],7.72,8.66,1.5155,1.209,0.3,0.41
[5/15],8.091,8.566,1.2014,1.2077,0.65,0.45
[6/15],9.714,8.73,1.4536,1.2428,0.3,0.429
[7/15],8.884,8.749,1.1215,1.2277,0.35,0.419
[8/15],8.34,8.703,1.2743,1.2328,0.5,0.428
[9/15],7.44,8.577,1.3573,1.2453,0.5,0.435
[10/15],8.126,8.536,1.0467,1.2272,0.55,0.445
[11/15],7.503,8.45,1.3238,1.2353,0.65,0.463
[12/15],7.462,8.374,1.5184,1.2571,0.5,0.465
[13/15],6.605,8.248,1.4635,1.2718,0.3,0.454
[14/15],2.891,7.89,1.3477,1.2737,0.571,0.456
[0/15],8.25,8.25,0.7996,0.7996,0.7,0.7
[1/15],8.037,8.143,1.4494,1.1245,0.5,0.6
[2/15],7.673,7.987,1.5339,1.2609,0.4,0.533
[3/15],8.128,8.022,0.8411,1.156,0.65,0.562
[4/15],8.184,8.054,1.0425,1.1333,0.7,0.59
[5/15],7.005,7.879,1.9615,1.2713,0.35,0.55
[6/15],7.596,7.839,1.2995,1.2754,0.5,0.543
[7/15],7.717,7.824,1.3449,1.284,0.35,0.519
[8/15],8.468,7.895,1.3919,1.296,0.35,0.5
[9/15],6,7.706,1.3342,1.2998,0.45,0.495
[10/15],7.136,7.654,1.2448,1.2948,0.45,0.491
[11/15],7.704,7.658,1.2429,1.2905,0.6,0.5
[12/15],7.6,7.654,1.5263,1.3087,0.4,0.492
[13/15],7.899,7.671,1.1955,1.3006,0.5,0.493
[14/15],2.912,7.354,1.4957,1.3053,0.143,0.484
[0/15],9.394,9.394,1.4535,1.4535,0.45,0.45
[1/15],8.928,9.161,1.299,1.3762,0.55,0.5
[2/15],8.779,9.034,1.4049,1.3858,0.55,0.517
[3/15],8.748,8.963,1.1245,1.3205,0.35,0.475
[4/15],8.542,8.878,1.0097,1.2583,0.4,0.46
[5/15],7.411,8.634,1.3522,1.274,0.45,0.458
[6/15],8.548,8.622,1.1622,1.258,0.5,0.464
[7/15],8.904,8.657,1.0197,1.2282,0.5,0.469
[8/15],10.657,8.879,1.001,1.203,0.5,0.472
[9/15],8.437,8.835,1.4603,1.2287,0.45,0.47
[10/15],7.701,8.732,1.4749,1.2511,0.6,0.482
[11/15],6.482,8.544,1.8145,1.298,0.4,0.475
[12/15],8.845,8.568,1.0835,1.2815,0.65,0.488
[13/15],7.759,8.51,0.9572,1.2584,0.7,0.504
[14/15],1.699,8.056,2.3862,1.2859,0.286,0.498
[0/15],6.56,6.56,1.4312,1.4312,0.5,0.5
[1/15],7.96,7.26,1.1249,1.2781,0.5,0.5
[2/15],7.799,7.44,1.6713,1.4091,0.55,0.517
[3/15],7.269,7.397,1.7675,1.4987,0.4,0.487
[4/15],9.55,7.828,0.9369,1.3864,0.6,0.51
[5/15],8.075,7.869,1.0789,1.3351,0.6,0.525
[6/15],7.879,7.87,1.3451,1.3365,0.55,0.529
[7/15],7.744,7.854,1.7268,1.3853,0.5,0.525
[8/15],7.558,7.821,1.087,1.3522,0.5,0.522
[9/15],7.725,7.812,1.1652,1.3335,0.45,0.515
[10/15],8.57,7.881,1.5675,1.3548,0.4,0.505
[11/15],7.988,7.89,0.7862,1.3074,0.65,0.517
[12/15],7.61,7.868,0.9651,1.2811,0.7,0.531
[13/15],6.889,7.798,1.4417,1.2925,0.4,0.521
[14/15],2.924,7.473,1.1592,1.2893,0.571,0.523
[0/15],7.172,7.172,1.0915,1.0915,0.55,0.55
[1/15],7.366,7.269,1.458,1.2748,0.45,0.5
[2/15],6.98,7.173,1.5339,1.3611,0.4,0.467
[3/15],7.862,7.345,0.9737,1.2643,0.5,0.475
[4/15],8.152,7.506,1.2723,1.2659,0.45,0.47
[5/15],8.124,7.609,1.6934,1.3371,0.25,0.433
[6/15],8.161,7.688,1.2482,1.3244,0.7,0.471
[7/15],7.693,7.689,1.1412,1.3015,0.6,0.487
[8/15],8.546,7.784,1.3538,1.3073,0.6,0.5
[9/15],6.982,7.704,1.5963,1.3362,0.4,0.49
[10/15],8.091,7.739,1.4789,1.3492,0.4,0.482
[11/15],8.244,7.781,1.4919,1.3611,0.3,0.467
[12/15],7.07,7.726,1.9456,1.406,0.4,0.462
[13/15],8.249,7.764,1.6058,1.4203,0.4,0.457
[14/15],3.136,7.455,1.6434,1.4258,0.429,0.456
[0/15],9.955,9.955,1.5956,1.5956,0.6,0.6
[1/15],8.837,9.396,1.8611,1.7283,0.4,0.5
[2/15],10.239,9.677,1.2203,1.559,0.5,0.5
[3/15],8.483,9.378,1.1263,1.4508,0.6,0.525
[4/15],9.5,9.403,1.3571,1.4321,0.55,0.53
[5/15],8.397,9.235,1.43,1.4317,0.45,0.517
[6/15],7.798,9.03,2.1041,1.5278,0.4,0.5
[7/15],7.486,8.837,1.6712,1.5457,0.5,0.5
[8/15],8.337,8.781,1.0539,1.4911,0.45,0.494
[9/15],7.724,8.676,1.3472,1.4767,0.5,0.495
[10/15],7.998,8.614,1.3511,1.4653,0.6,0.505
[11/15],9.506,8.688,1.4283,1.4622,0.4,0.496
[12/15],7.487,8.596,1.0678,1.4318,0.55,0.5
[13/15],7.688,8.531,1.0788,1.4066,0.4,0.493
[14/15],2.862,8.153,1.3156,1.4044,0.571,0.495
[0/15],7.802,7.802,1.2724,1.2724,0.5,0.5
[1/15],7.874,7.838,2.006,1.6392,0.45,0.475
[2/15],8.344,8.006,1.7387,1.6724,0.55,0.5
[3/15],9.018,8.259,1.9316,1.7372,0.5,0.5
[4/15],9.671,8.542,1.3135,1.6524,0.5,0.5
[5/15],9.083,8.632,1.0205,1.5471,0.55,0.508
[6/15],10.81,8.943,1.0515,1.4763,0.65,0.529
[7/15],9.432,9.004,1.9262,1.5326,0.35,0.506
[8/15],8.406,8.938,1.2523,1.5014,0.55,0.511
[9/15],8.783,8.922,1.7199,1.5233,0.2,0.48
[10/15],9.173,8.945,1.9412,1.5613,0.3,0.464
[11/15],9.485,8.99,1.5005,1.5562,0.35,0.454
[12/15],8.341,8.94,1.0697,1.5188,0.65,0.469
[13/15],8.624,8.918,1.62,1.526,0.45,0.468
[14/15],3.298,8.543,1.824,1.5333,0.286,0.463
[0/15],8.777,8.777,1.4916,1.4916,0.5,0.5
[1/15],10.748,9.762,1.2879,1.3898,0.45,0.475
[2/15],10.81,10.112,1.285,1.3548,0.4,0.45
[3/15],8.981,9.829,1.8729,1.4844,0.4,0.438
[4/15],8.595,9.582,1.2513,1.4378,0.4,0.43
[5/15],9.602,9.585,1.6563,1.4742,0.5,0.442
[6/15],9.09,9.515,1.4372,1.4689,0.4,0.436
[7/15],9.727,9.541,1.995,1.5347,0.2,0.406
[8/15],9.418,9.527,1.6717,1.5499,0.3,0.394
[9/15],10.265,9.601,2.073,1.6022,0.5,0.405
[10/15],8.589,9.509,1.8814,1.6276,0.3,0.395
[11/15],8.438,9.42,1.9066,1.6508,0.4,0.396
[12/15],7.838,9.298,1.479,1.6376,0.4,0.396
[13/15],8.663,9.253,0.8098,1.5785,0.7,0.418
[14/15],3.675,8.881,1.4542,1.5755,0.429,0.418
[0/15],11.561,11.561,1.8122,1.8122,0.45,0.45
[1/15],11.404,11.482,1.7165,1.7643,0.5,0.475
[2/15],10.447,11.137,2.6977,2.0755,0.5,0.483
[3/15],8.765,10.544,1.1333,1.8399,0.6,0.512
[4/15],8.812,10.198,1.7683,1.8256,0.6,0.53
[5/15],9.998,10.164,1.2575,1.7309,0.45,0.517
[6/15],8.644,9.947,1.4925,1.6969,0.55,0.521
[7/15],9.066,9.837,2.2407,1.7648,0.5,0.519
[8/15],11.025,9.969,0.7688,1.6542,0.7,0.539
[9/15],9.695,9.942,1.2797,1.6167,0.5,0.535
[10/15],8.908,9.848,1.5671,1.6122,0.5,0.532
[11/15],9.934,9.855,2.2762,1.6675,0.5,0.529
[12/15],10.469,9.902,1.9825,1.6918,0.5,0.527
[13/15],10.605,9.952,2.3866,1.7414,0.15,0.5
[14/15],3.333,9.511,0.9506,1.7221,0.571,0.502
[0/15],9.558,9.558,2.251,2.251,0.35,0.35
[1/15],9.343,9.451,3.0013,2.6261,0.45,0.4
[2/15],9.665,9.522,1.4496,2.234,0.4,0.4
[3/15],9.686,9.563,1.5699,2.0679,0.35,0.388
[4/15],10.005,9.651,1.9986,2.0541,0.25,0.36
[5/15],10.364,9.77,2.603,2.1456,0.4,0.367
[6/15],10.047,9.81,1.2565,2.0186,0.35,0.364
[7/15],8.941,9.701,2.1605,2.0363,0.3,0.356
[8/15],8.848,9.606,1.34,1.9589,0.3,0.35
[9/15],9.441,9.59,1.1724,1.8803,0.45,0.36
[10/15],8.452,9.486,2.1716,1.9068,0.4,0.364
[11/15],9.084,9.453,1.959,1.9111,0.2,0.35
[12/15],9.713,9.473,1.8032,1.9028,0.4,0.354
[13/15],9.625,9.484,1.8159,1.8966,0.35,0.354
[14/15],3.292,9.071,0.7222,1.868,0.571,0.359
[0/15],11.397,11.397,1.9563,1.9563,0.4,0.4
[1/15],10.469,10.933,1.9172,1.9367,0.4,0.4
[2/15],11.195,11.02,2.0941,1.9892,0.3,0.367
[3/15],10.11,10.793,1.7992,1.9417,0.45,0.388
[4/15],10.437,10.722,3.6665,2.2866,0.25,0.36
[5/15],9.484,10.515,2.0184,2.2419,0.35,0.358
[6/15],10.268,10.48,2.2714,2.2462,0.45,0.371
[7/15],10.753,10.514,1.7657,2.1861,0.2,0.35
[8/15],9.13,10.36,1.9395,2.1587,0.5,0.367
[9/15],9.875,10.312,1.7233,2.1152,0.45,0.375
[10/15],9.615,10.248,1.797,2.0862,0.4,0.377
[11/15],8.963,10.141,1.505,2.0378,0.6,0.396
[12/15],9.433,10.087,1.9679,2.0324,0.25,0.385
[13/15],9.44,10.041,1.7995,2.0158,0.35,0.382
[14/15],2.748,9.554,1.4415,2.0018,0.143,0.376
[0/15],9.479,9.479,2.3908,2.3908,0.2,0.2
[1/15],10.057,9.768,2.1683,2.2795,0.2,0.2
[2/15],9.502,9.68,1.7817,2.1136,0.45,0.283
[3/15],9.795,9.709,1.738,2.0197,0.35,0.3
[4/15],9.45,9.657,1.3097,1.8777,0.5,0.34
[5/15],9.055,9.557,1.5595,1.8247,0.45,0.358
[6/15],9.538,9.554,1.8128,1.823,0.35,0.357
[7/15],9.046,9.49,2.2586,1.8774,0.25,0.344
[8/15],11.343,9.696,2.1914,1.9123,0.35,0.344
[9/15],8.846,9.611,2.2508,1.9462,0.35,0.345
[10/15],9.692,9.619,2.2034,1.9695,0.15,0.327
[11/15],8.068,9.489,2.9544,2.0516,0.25,0.321
[12/15],8.263,9.395,1.8054,2.0327,0.35,0.323
[13/15],9.678,9.415,1.61,2.0025,0.3,0.321
[14/15],4.161,9.065,2.065,2.004,0.143,0.317
[0/15],9.458,9.458,1.2871,1.2871,0.55,0.55
[1/15],10.975,10.217,2.5848,1.936,0.4,0.475
[2/15],10.697,10.377,1.3966,1.7562,0.6,0.517
[3/15],9.861,10.248,2.7273,1.9989,0.4,0.487
[4/15],9.357,10.07,1.9238,1.9839,0.6,0.51
[5/15],10.705,10.176,2.2185,2.023,0.4,0.492
[6/15],10.858,10.273,1.9591,2.0139,0.35,0.471
[7/15],9.425,10.167,1.861,1.9948,0.45,0.469
[8/15],9.601,10.104,1.7806,1.971,0.5,0.472
[9/15],10.106,10.104,1.4514,1.919,0.5,0.475
[10/15],10.445,10.135,1.3094,1.8636,0.45,0.473
[11/15],10.372,10.155,2.5706,1.9225,0.3,0.458
[12/15],10.647,10.193,1.2631,1.8718,0.5,0.462
[13/15],9.246,10.125,2.5368,1.9193,0.6,0.471
[14/15],2.398,9.61,2.249,1.9273,0.286,0.467
[0/15],8.856,8.856,1.9753,1.9753,0.4,0.4
[1/15],9.921,9.389,2.0315,2.0034,0.45,0.425
[2/15],10.68,9.819,2.1426,2.0498,0.5,0.45
[3/15],9.957,9.854,1.8602,2.0024,0.25,0.4
[4/15],10.222,9.927,2.1313,2.0282,0.35,0.39
[5/15],8.174,9.635,2.4448,2.0976,0.5,0.408
[6/15],9.936,9.678,2.1408,2.1038,0.4,0.407
[7/15],9.285,9.629,1.5204,2.0309,0.55,0.425
[8/15],10.479,9.723,1.6034,1.9834,0.55,0.439
[9/15],9.612,9.712,2.1349,1.9985,0.5,0.445
[10/15],8.065,9.563,3.2737,2.1144,0.3,0.432
[11/15],9.658,9.57,2.3658,2.1354,0.45,0.433
[12/15],9.221,9.544,2.1828,2.139,0.45,0.435
[13/15],8.475,9.467,2.2727,2.1486,0.35,0.429
[14/15],3.351,9.06,1.5552,2.1341,0.571,0.432
[0/15],10.969,10.969,2.3038,2.3038,0.35,0.35
[1/15],10.97,10.969,1.6048,1.9543,0.55,0.45
[2/15],10.201,10.713,2.4753,2.128,0.4,0.433
[3/15],10.237,10.594,2.2818,2.1664,0.3,0.4
[4/15],9.83,10.441,1.5436,2.0419,0.45,0.41
[5/15],10.249,10.409,2.7592,2.1614,0.4,0.408
[6/15],11.015,10.496,1.2599,2.0326,0.6,0.436
[7/15],9.933,10.425,1.7633,1.999,0.6,0.456
[8/15],9.286,10.299,2.3354,2.0363,0.55,0.467
[9/15],9.855,10.255,2.736,2.1063,0.4,0.46
[10/15],9.613,10.196,2.3748,2.1307,0.4,0.455
[11/15],10.247,10.2,2.2919,2.1442,0.45,0.454
[12/15],9.544,10.15,4.1547,2.2988,0.25,0.438
[13/15],9.493,10.103,1.8437,2.2663,0.45,0.439
[14/15],3.107,9.637,1.7535,2.2538,0.143,0.432
[0/15],8.822,8.822,2.9116,2.9116,0.35,0.35
[1/15],9.841,9.331,2.1869,2.5493,0.3,0.325
[2/15],10.437,9.7,2.0397,2.3794,0.5,0.383
[3/15],8.622,9.43,1.8371,2.2438,0.55,0.425
[4/15],9.705,9.485,2.5263,2.3003,0.35,0.41
[5/15],8.653,9.347,2.8382,2.39,0.45,0.417
[6/15],8.943,9.289,2.434,2.3963,0.35,0.407
[7/15],9.242,9.283,3.503,2.5346,0.25,0.388
[8/15],9.664,9.325,3.305,2.6202,0.35,0.383
[9/15],9.217,9.315,3.1357,2.6717,0.4,0.385
[10/15],8.791,9.267,1.6232,2.5764,0.4,0.386
[11/15],11.038,9.415,2.5186,2.5716,0.3,0.379
[12/15],8.723,9.361,2.4693,2.5637,0.6,0.396
[13/15],10.363,9.433,1.8707,2.5142,0.45,0.4
[14/15],3.784,9.056,1.5694,2.4912,0.571,0.404
[0/15],10.272,10.272,2.0405,2.0405,0.4,0.4
[1/15],10.922,10.597,1.2282,1.6344,0.5,0.45
[2/15],10.477,10.557,1.5431,1.6039,0.45,0.45
[3/15],9.976,10.412,1.7083,1.63,0.4,0.438
[4/15],11.171,10.563,2.1393,1.7319,0.45,0.44
[5/15],10.54,10.559,2.7846,1.9073,0.5,0.45
[6/15],9.834,10.456,2.2273,1.953,0.35,0.436
[7/15],9.873,10.383,1.6378,1.9136,0.4,0.431
[8/15],8.707,10.197,1.5251,1.8705,0.25,0.411
[9/15],9.709,10.148,1.9177,1.8752,0.25,0.395
[10/15],8.7,10.016,4.0001,2.0684,0.3,0.386
[11/15],9.694,9.989,3.1557,2.159,0.3,0.379
[12/15],9.889,9.982,2.2609,2.1668,0.3,0.373
[13/15],10.342,10.008,1.8139,2.1416,0.55,0.386
[14/15],4.283,9.626,2.4238,2.1485,0.429,0.387
[0/15],8.957,8.957,1.3465,1.3465,0.55,0.55
[1/15],10.526,9.741,1.9539,1.6502,0.5,0.525
[2/15],9.873,9.785,1.4168,1.5724,0.45,0.5
[3/15],9.826,9.796,2.6378,1.8387,0.35,0.463
[4/15],8.897,9.616,2.6669,2.0044,0.25,0.42
[5/15],9.917,9.666,2.5374,2.0932,0.3,0.4
[6/15],8.666,9.523,2.6136,2.1676,0.4,0.4
[7/15],9.301,9.495,3.3677,2.3176,0.3,0.388
[8/15],9.296,9.473,5.1116,2.628,0.25,0.372
[9/15],9.651,9.491,2.3403,2.5993,0.45,0.38
[10/15],8.984,9.445,1.3697,2.4875,0.5,0.391
[11/15],10.121,9.501,1.5371,2.4083,0.55,0.404
[12/15],9.348,9.489,2.9073,2.4467,0.35,0.4
[13/15],8.837,9.443,1.7583,2.3975,0.25,0.389
[14/15],3.984,9.079,1.5404,2.3766,0.429,0.39
[0/15],11.962,11.962,1.3284,1.3284,0.5,0.5
[1/15],11.782,11.872,1.0483,1.1884,0.6,0.55
[2/15],10.533,11.426,1.4331,1.2699,0.4,0.5
[3/15],9.971,11.062,2.4967,1.5766,0.4,0.475
[4/15],9.671,10.784,2.9002,1.8413,0.4,0.46
[5/15],9.616,10.589,2.0837,1.8817,0.45,0.458
[6/15],9.628,10.452,2.65,1.9915,0.5,0.464
[7/15],10.038,10.4,2.52,2.0576,0.3,0.444
[8/15],9.711,10.324,2.1111,2.0635,0.35,0.433
[9/15],9.325,10.224,2.6242,2.1196,0.4,0.43
[10/15],9.836,10.189,1.9029,2.0999,0.45,0.432
[11/15],9.051,10.094,3.3756,2.2062,0.35,0.425
[12/15],9.734,10.066,1.8126,2.1759,0.55,0.435
[13/15],9.954,10.058,2.3669,2.1895,0.55,0.443
[14/15],3.321,9.609,2.9956,2.2092,0.429,0.443
[0/15],9.822,9.822,2.7353,2.7353,0.4,0.4
[1/15],8.774,9.298,2.2807,2.508,0.5,0.45
[2/15],9.401,9.332,2.329,2.4483,0.35,0.417
[3/15],9.591,9.397,1.6329,2.2445,0.6,0.463
[4/15],9.504,9.418,2.4139,2.2784,0.6,0.49
[5/15],9.099,9.365,2.3675,2.2932,0.45,0.483
[6/15],9.426,9.374,3.0786,2.4054,0.3,0.457
[7/15],9.462,9.385,3.0568,2.4868,0.4,0.45
[8/15],9.775,9.428,1.9169,2.4235,0.5,0.456
[9/15],8.669,9.352,2.8359,2.4648,0.35,0.445
[10/15],9.387,9.356,3.155,2.5275,0.3,0.432
[11/15],10.771,9.474,2.3632,2.5138,0.45,0.433
[12/15],9.399,9.468,2.7915,2.5352,0.35,0.427
[13/15],10.009,9.507,2.8435,2.5572,0.3,0.418
[14/15],3.38,9.098,1.0421,2.5202,0.571,0.422
[0/15],11.468,11.468,2.0008,2.0008,0.55,0.55
[1/15],10.495,10.982,2.0618,2.0313,0.55,0.55
[2/15],10.033,10.666,2.953,2.3385,0.5,0.533
[3/15],9.363,10.34,3.5694,2.6462,0.45,0.512
[4/15],10.626,10.397,1.9627,2.5095,0.6,0.53
[5/15],9.41,10.232,3.2742,2.637,0.35,0.5
[6/15],10.64,10.291,4.3091,2.8758,0.2,0.457
[7/15],9.797,10.229,2.1845,2.7894,0.45,0.456
[8/15],10.313,10.238,2.4272,2.7492,0.35,0.444
[9/15],11.026,10.317,2.3569,2.71,0.35,0.435
[10/15],9.752,10.266,1.1424,2.5675,0.6,0.45
[11/15],9.924,10.237,2.805,2.5873,0.4,0.446
[12/15],9.204,10.158,2.3198,2.5667,0.4,0.442
[13/15],8.321,10.027,1.4613,2.4877,0.65,0.457
[14/15],3.605,9.598,1.1487,2.4551,0.429,0.456
[0/15],9.852,9.852,2.3214,2.3214,0.5,0.5
[1/15],9.356,9.604,3.137,2.7292,0.45,0.475
[2/15],10.047,9.752,2.8517,2.77,0.5,0.483
[3/15],8.479,9.434,3.9294,3.0599,0.4,0.463
[4/15],9.754,9.498,2.7463,2.9972,0.4,0.45
[5/15],10.89,9.73,2.01,2.8326,0.45,0.45
[6/15],8.337,9.531,3.1336,2.8756,0.25,0.421
[7/15],8.762,9.435,1.404,2.6917,0.5,0.431
[8/15],9.761,9.471,3.0069,2.7267,0.15,0.4
[9/15],10.471,9.571,2.3237,2.6864,0.55,0.415
[10/15],8.385,9.463,2.9449,2.7099,0.4,0.414
[11/15],9.752,9.487,2.8717,2.7234,0.3,0.404
[12/15],10.001,9.527,1.9229,2.6618,0.5,0.412
[13/15],9.405,9.518,2.0041,2.6148,0.6,0.425
[14/15],2.767,9.068,3.2417,2.6301,0,0.415
